id,name,type,library_kind,pdf_page_start,pdf_page_end,book_page_start,book_page_end,image_url,sheet_pdf_url
abomination,Abomination (Emil Blonsky),villain,villain,3,3,134,134,assets/characters/villains/abomination/image.webp,assets/characters/villains/abomination/character-sheet.pdf
agatha-harkness,Agatha Harkness,neutral,hero,4,4,135,135,assets/characters/heroes/agatha-harkness/image.webp,assets/characters/heroes/agatha-harkness/character-sheet.pdf
agent-phil-coulson,Agent Phil Coulson,neutral,hero,5,5,136,136,assets/characters/heroes/agent-phil-coulson/image.webp,assets/characters/heroes/agent-phil-coulson/character-sheet.pdf
america-chavez,America Chavez,hero,hero,6,6,137,137,assets/characters/heroes/america-chavez/image.webp,assets/characters/heroes/america-chavez/character-sheet.pdf
aim-agent,A.I.M. Agent,minion,villain,7,7,138,138,assets/characters/minions/aim-agent/image.webp,assets/characters/minions/aim-agent/character-sheet.pdf
ant-man,Ant-Man,hero,hero,8,8,139,139,assets/characters/heroes/ant-man/image.webp,assets/characters/heroes/ant-man/character-sheet.pdf
average-civilian,Average Civilian,minion,villain,9,9,140,140,assets/characters/minions/average-civilian/image.webp,assets/characters/minions/average-civilian/character-sheet.pdf
baron-mordo,Baron Mordo,villain,villain,10,10,141,141,assets/characters/villains/baron-mordo/image.webp,assets/characters/villains/baron-mordo/character-sheet.pdf
zemo,Baron Zemo (Helmut Zemo),villain,villain,11,11,142,142,assets/characters/villains/zemo/image.webp,assets/characters/villains/zemo/character-sheet.pdf
beast,Beast (Hank Mccoy),hero,hero,12,12,143,143,assets/characters/heroes/beast/image.webp,assets/characters/heroes/beast/character-sheet.pdf
black-bolt,Black Bolt,hero,hero,13,13,144,144,assets/characters/heroes/black-bolt/image.webp,assets/characters/heroes/black-bolt/character-sheet.pdf
black-panther,Black Panther (T'Challa),hero,hero,14,14,145,145,assets/characters/heroes/black-panther/image.webp,assets/characters/heroes/black-panther/character-sheet.pdf
black-widow,Black Widow (Natasha Romanoff),hero,hero,15,15,146,146,assets/characters/heroes/black-widow/image.webp,assets/characters/heroes/black-widow/character-sheet.pdf
blade,Blade,neutral,hero,16,16,147,147,assets/characters/heroes/blade/image.webp,assets/characters/heroes/blade/character-sheet.pdf
blue-marvel,Blue Marvel,hero,hero,17,17,148,148,assets/characters/heroes/blue-marvel/image.webp,assets/characters/heroes/blue-marvel/character-sheet.pdf
brawn,Brawn (Amadeus Cho),hero,hero,18,18,149,149,assets/characters/heroes/brawn/image.webp,assets/characters/heroes/brawn/character-sheet.pdf
bullseye,Bullseye,villain,villain,19,19,150,150,assets/characters/villains/bullseye/image.webp,assets/characters/villains/bullseye/character-sheet.pdf
cap,Captain America (Steve Rogers),hero,hero,20,20,151,151,assets/characters/heroes/cap/image.webp,assets/characters/heroes/cap/character-sheet.pdf
captain-marvel,Captain Marvel (Carol Danvers),hero,hero,21,21,152,152,assets/characters/heroes/captain-marvel/image.webp,assets/characters/heroes/captain-marvel/character-sheet.pdf
clea,Clea,neutral,hero,22,22,153,153,assets/characters/heroes/clea/image.webp,assets/characters/heroes/clea/character-sheet.pdf
colossus,Colossus,hero,hero,23,23,154,154,assets/characters/heroes/colossus/image.webp,assets/characters/heroes/colossus/character-sheet.pdf
crossbones,Crossbones,villain,villain,24,24,155,155,assets/characters/villains/crossbones/image.webp,assets/characters/villains/crossbones/character-sheet.pdf
cyclops,Cyclops,hero,hero,25,25,156,156,assets/characters/heroes/cyclops/image.webp,assets/characters/heroes/cyclops/character-sheet.pdf
daredevil,Daredevil,hero,hero,26,26,157,157,assets/characters/heroes/daredevil/image.webp,assets/characters/heroes/daredevil/character-sheet.pdf
deadpool,Deadpool,antihero,hero,27,27,158,158,assets/characters/heroes/deadpool/image.webp,assets/characters/heroes/deadpool/character-sheet.pdf
devil-dinosaur,Devil Dinosaur,hero,hero,28,28,159,159,assets/characters/heroes/devil-dinosaur/image.webp,assets/characters/heroes/devil-dinosaur/character-sheet.pdf
